,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10130,PPG,2019,7,113.85521952311133,108.87616729736267,1.0,-1628411,0.0,4.642694113117465e-05
10131,PPG,2019,9,113.452835083007,112.673828125,1.0,-1440000,0.0,4.10545919659645e-05
10132,PPG,2019,10,119.79689025878875,126.65794754028249,1.0,-1489500,0.0,4.246584356479452e-05
10133,PPG,2019,11,126.198593139648,128.236778259277,1.0,-3958500,0.0,0.0001128573627064
10134,PPG,2020,8,118.048469543457,126.104888916015,1.0,-1846496,0.0,5.264558623395521e-05
10135,PPG,2020,10,130.778011322021,140.74076843261673,1.0,-10828653,0.0,0.000308724553009
10136,PPL,2012,12,18.2630176544189,18.3260154724121,1.0,-1450423,0.0,7.336856545998372e-05
10137,PPL,2013,1,18.200018564859963,19.016890207926366,1.0,-2224871,0.0,0.00011254888333584806
10138,PPL,2013,3,19.2955608367919,20.1879920959472,1.0,-2233028,0.0,0.00011295187953148385
10139,PPL,2013,4,20.289981842041,20.4047203063964,1.0,-17369768,0.0,0.0008785788873547953
10140,PPL,2013,10,20.026123046875,20.1959991455078,1.0,-107095,0.0,5.417965205579894e-06
10141,PPL,2014,1,19.6341543197631,20.19305133819575,1.0,-3728156,0.0,0.0001885896371494385
10142,PPL,2014,2,20.1665954589843,21.1719436645507,1.0,-3527931,0.0,0.00017844191615555305
10143,PPL,2014,4,22.1092615127563,22.463944911956723,1.0,-3767164,0.0,0.00019056176965358737
10144,PPL,2014,5,22.6195392608642,23.4828300476074,1.0,-7714078,0.0,0.0003902154816909898
10145,PPL,2014,8,22.532374699910402,23.056845347086533,1.0,-349453,0.0,1.7674969733994796e-05
10146,PPL,2014,9,22.4567432403564,23.8175525665283,1.0,-763680,0.0,3.86284997391268e-05
10147,PPL,2015,1,24.5491523742675,24.8117904663085,1.0,-9991162,0.0,0.0005053956250197677
10148,PPL,2015,2,24.3418159484863,22.1843357086181,1.0,-6640929,0.0,0.000335896426164
10149,PPL,2015,6,23.65006446838375,22.69791507720945,1.0,-47108,0.0,2.3828233165714594e-06
10150,PPL,2015,8,24.72787094116205,22.876491546630803,1.0,-737606,0.0,3.73100014593995e-05
10151,PPL,2015,9,23.8198204040527,26.5126285552978,1.0,-301496,0.0,1.5251911037692125e-05
10152,PPL,2016,1,26.2076206207275,27.9506397247314,1.0,-8983858,0.0,0.0004543878728570175
10153,PPL,2016,2,27.682184219360302,28.49372577667235,1.0,-2347465,0.0,0.0001187407544009
10154,PPL,2016,7,29.5449886322021,28.516612052917452,1.0,-578462,0.0,2.926145912517273e-05
10155,PPL,2017,1,28.1710891723632,28.8045196533203,0.0,-3864606,0.0,0.00019548827333281665
10156,PPL,2017,6,32.575439453125,31.8375358581542,1.0,-325417,0.0,1.6460440335089336e-05
10157,PPL,2017,7,31.6053962707519,32.3764572143554,1.0,-112913,0.0,5.711424393821369e-06
10158,PPL,2018,1,26.77392578125,26.3419475555419,1.0,-1100422,0.0,5.566216373241935e-05
10159,PPL,2018,2,26.058203697204547,23.406554222106898,1.0,-552519,0.0,2.7947694360022583e-05
10160,PPL,2019,2,27.8665218353271,29.1540241241455,1.0,-232066,0.0,1.1738505114181817e-05
10161,PPL,2019,3,29.0722064971923,29.2267513275146,1.0,-7324363,0.0,0.0003704848970086
10162,PPL,2019,10,30.895166397094698,31.703152656555098,1.0,-20777884,0.0,0.0010509214797875556
10163,PPL,2019,12,34.07420158386225,33.80947113037105,1.0,-13419396,0.0,0.0006787872043441
